feature_id,log2_fold_change,average_expression,moderated_t,p_value,fdr_bh,B,direction_robust,log2_fold_change_leave_out_EC,log2_fold_change_leave_out_FC,log2_fold_change_leave_out_TC,entrez_id,mapping_status
2315554,-0.0774812337019544,6.69799563380282,-0.854907405559905,0.393592822524043,0.767700667939164,-5.43210490233843,True,-0.117271972695653,-0.0140367107506698,-0.101135017659545,254173;406983;406984;554210,ambiguous_multiple_entrez
2315633,-0.114865946189167,6.89470568075117,-1.70652800613752,0.0894125840711075,0.554185474947146,-4.45160652301787,True,-0.12993523167408,-0.110445009332981,-0.10421759756044,126792,unique_entrez_id
2315674,-0.0668578666157789,6.92379582159624,-0.853326214094328,0.394466799895621,0.767700667939164,-5.43332599418802,True,-0.0783500771994445,-0.0296073750039465,-0.0926161476439527,101928895;6339,ambiguous_multiple_entrez
2315739,-0.144113983579966,7.00663962441315,-1.99274376803161,0.047605800301004,0.480973993267025,-3.97972654336918,True,-0.107781798252883,-0.138695459589116,-0.185864692897903,126789,unique_entrez_id
2315894,0.068263622773193,8.40240384976526,0.52621730319165,0.599302059256868,0.861923054260817,-5.6375777827007,True,0.0231498347345411,0.140188657961314,0.0414523756237148,64856,unique_entrez_id
2315918,-0.26280447801926,6.28558488262911,-1.81088483629589,0.0716126555578518,0.521769666164805,-4.28772164466791,True,-0.260564351603763,-0.268574250486795,-0.259274831967223,219293;55210;83858,ambiguous_multiple_entrez
2315951,-0.141730708051304,8.03869497652582,-1.32038499766813,0.188167590131562,0.64904179160327,-4.97557560445805,True,-0.172508584268018,-0.0892192862160579,-0.16346425366984,219293;55210;83858,ambiguous_multiple_entrez
2316218,-0.169515651430254,6.07541291079812,-0.998978677391593,0.318974730621757,0.729112051754505,-5.31144301646254,True,-0.125036764932291,-0.109721332938181,-0.27378885642029,163688,unique_entrez_id
2316245,-0.198569837572354,9.48415089201878,-1.66198477778399,0.0980329361978547,0.566749869607241,-4.51869070639607,True,-0.134795944376886,-0.223052807306765,-0.237860761033422,5590,unique_entrez_id
2316379,-0.0593478197592656,8.39289037558685,-0.724801995917636,0.469393685326983,0.800978712127469,-5.52507051310796,True,-0.0453576449850228,-0.0665294020952985,-0.0661564121974845,6497,unique_entrez_id
2316558,-0.194009877644753,8.49590079812207,-1.85105221316676,0.0655896081214321,0.513325238883868,-4.22213169037217,True,-0.129604775560846,-0.310573463928835,-0.141851393444577,11079,unique_entrez_id
2316605,-0.11546939531797,7.0692261971831,-1.62272747938337,0.106172786927672,0.573396219417715,-4.5763839180252,True,-0.135545886349996,-0.0869147011974718,-0.123947598406449,9651,unique_entrez_id
