population,outcome,n,n_parameters,n_cook_flag,n_leverage_flag,n_studentized_flag,n_union_flag,n_retained,max_cook_d,max_leverage,max_abs_studentized,cook_threshold,leverage_threshold,studentized_threshold,tau_min_retained,tau_max_retained,direction_same,beta_change_percent,full_beta,full_se,full_ci95_lower,full_ci95_upper,full_p_value,sensitivity_beta,sensitivity_se,sensitivity_ci95_lower,sensitivity_ci95_upper,sensitivity_p_value,sensitivity_fdr_bh,sensitivity_fdr_family
all_eligible,hippocampus_icv,283,6,15,9,1,21,262,0.05438919789125758,0.07714153387898987,3.2786906739410173,0.014134275618374558,0.04240282685512368,3,1.03,2.524,True,-11.295148207374831,-7.837160201966194e-05,1.0637930683294196e-05,-9.922156302895213e-05,-5.7521641010371756e-05,1.7426874112352602e-13,-8.722379062027673e-05,1.0541458822604359e-05,-0.00010788467025709328,-6.656291098346018e-05,1.2915097219695259e-16,1.7220129626260344e-16,four influence-refit slopes; sensitivity only
all_eligible,cdrsb,336,6,21,9,7,27,309,0.08292207802656396,0.10788449110110694,5.061181653876859,0.011904761904761904,0.03571428571428571,3,0.991,2.571,True,-16.908732634709892,0.3497371418900251,0.03863639698584409,0.27401119530537876,0.4254630884746714,1.4035745124374887e-19,0.29060102364356477,0.03303319502856523,0.22585715109328935,0.3553448961938402,1.402192158638169e-18,5.608768634552676e-18,four influence-refit slopes; sensitivity only
age_ge_65,hippocampus_icv,257,6,12,8,1,19,238,0.06290355252015632,0.07203600944767931,3.251282887813523,0.01556420233463035,0.04669260700389105,3,1.03,2.367,True,-20.39258171489455,-7.375698676053467e-05,1.1929029865593025e-05,-9.713745566759968e-05,-5.037651785346965e-05,6.290156089513733e-10,-8.879794055612066e-05,1.2321884672484979e-05,-0.00011294839073584733,-6.464749037639398e-05,5.739879427910688e-13,5.739879427910688e-13,four influence-refit slopes; sensitivity only
age_ge_65,cdrsb,306,6,20,7,7,24,282,0.08966951786437356,0.1392595251872517,5.067037000194563,0.013071895424836602,0.0392156862745098,3,0.991,2.571,True,-11.989443271240896,0.35419442561697717,0.043074100160650976,0.26977074063563034,0.438618110598324,1.9862478484284078e-16,0.31172848588773217,0.036199924431626916,0.24077793775867182,0.3826790340167925,7.223534283294787e-18,1.4447068566589575e-17,four influence-refit slopes; sensitivity only
