population,outcome,tau_suvr,spline_mean,spline_ci95_lower,spline_ci95_upper,linear_mean,linear_ci95_lower,linear_ci95_upper,interpretation
all_eligible,hippocampus_icv,1.1112,0.005216085624008817,0.005064792486269373,0.005367378761748262,0.0050886504112236264,0.004984321685694724,0.005192979136752529,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.123359,0.005198095540465087,0.005059966141810489,0.005336224939119686,0.005079121208134056,0.00497654491266196,0.0051816975036061514,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.135518,0.0051801129259359795,0.005053445322054796,0.005306780529817163,0.005069592005044485,0.004968734859768343,0.005170449150320627,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.1476769999999998,0.005162138753179864,0.005044985965453578,0.00527929154090615,0.0050600628019549145,0.0049608897962935584,0.005159235807616271,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.1598359999999999,0.005144173994955113,0.005034391117393504,0.005253956872516723,0.005050533598865344,0.004953007908461519,0.0051480592892691685,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.171995,0.005126219624020097,0.005021564742574262,0.005230874505465933,0.0050410043957757715,0.0049450872989485715,0.0051369214926029715,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.184154,0.005108276613133187,0.005006562053112508,0.005209991173153865,0.005031475192686201,0.00493712598719429,0.005125824398178111,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.196313,0.005090345935052754,0.004989609100916692,0.005191082769188815,0.00502194598959663,0.004929121910671324,0.005114770068521937,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2084719999999998,0.00507242856253717,0.00497107537275843,0.00517378175231591,0.00501241678650706,0.004921072927283305,0.005103760645730814,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2206309999999998,0.005054525468344808,0.0049514110751132795,0.005157639861576337,0.005002887583417489,0.00491297681906957,0.0050927983477654076,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2327899999999998,0.005036637625234035,0.004931079253933856,0.005142195996534213,0.004993358380327918,0.004904831297401022,0.005081885463254814,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2449489999999999,0.005018766005963226,0.0049105066801482045,0.005127025331778247,0.004983829177238348,0.0048966340098513614,0.005071024344625334,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2571079999999997,0.005000911583290751,0.004890059388832328,0.005111763777749174,0.004974299974148777,0.0048883825489201066,0.0050602173993774474,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2692669999999997,0.004983076101132872,0.004870030933487594,0.005096121268778151,0.004964770771059206,0.00488007446276667,0.005049467079351742,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2814259999999997,0.004965269850642618,0.004850587209197911,0.005079952492087326,0.004955241567969636,0.004871707268086145,0.005038775867853127,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.2935849999999998,0.00494750844534887,0.0048317919626721575,0.005063224928025583,0.004945712364880065,0.004863278465215871,0.005028146264544259,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3057439999999998,0.004929807579247542,0.004813658425182917,0.005045956733312167,0.004936183161790494,0.0048547855555059844,0.005017580768075004,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3179029999999996,0.004912182946334547,0.004796162981005573,0.005028202911663521,0.004926653958700924,0.004846226060916446,0.005007081856485402,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3300619999999996,0.004894650240605803,0.004779254215997065,0.005010046265214541,0.004917124755611353,0.004837597545718176,0.00499665196550453,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3422209999999997,0.004877225156057223,0.004762859301362467,0.00499159101075198,0.0049075955525217825,0.00482889764007846,0.004986293464965105,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3543799999999997,0.004859923386684719,0.004746888811348289,0.0049729579620211494,0.004898066349432212,0.004820124065204324,0.0049760086336601,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3665389999999995,0.004842760626484211,0.004731240844182663,0.004954280408785758,0.004888537146342641,0.004811274659607063,0.004965799633078219,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3786979999999995,0.004825752569451609,0.004715805159260382,0.0049356999796428365,0.004879007943253071,0.004802347405943119,0.004955668480563022,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.3908569999999996,0.004808914909582828,0.004700467909722129,0.004917361909443528,0.0048694787401635,0.0047933404577891504,0.004945617022537849,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4030159999999996,0.0047922633408737855,0.0046851173698588345,0.004899409311888737,0.004859949537073929,0.004784252165631042,0.004935646908516817,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4151749999999996,0.004775813557320394,0.00466965076630581,0.004881976348334979,0.004850420333984359,0.004775081101296541,0.004925759566672176,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4273339999999997,0.004759581252918569,0.004653981896554532,0.0048651806092826055,0.004840891130894788,0.004765826080046898,0.004915956181742678,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4394929999999995,0.004743582121664222,0.004638048723083827,0.004849115520244617,0.004831361927805217,0.004756486179569996,0.004906237676040439,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4516519999999995,0.004727831857553272,0.004621819742697204,0.0048338439724093405,0.004821832724715647,0.004747060755188607,0.0048966046942426865,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4638109999999995,0.004712346154581631,0.0046052978753228875,0.004819394433840375,0.004812303521626076,0.004737549450711499,0.004887057592540653,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4759699999999996,0.004697140706745215,0.004588521023049201,0.004805760390441229,0.0048027743185365054,0.004727952204507089,0.004877596432565922,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.4881289999999994,0.004682231208039937,0.00457155921174106,0.004792903204338814,0.004793245115446935,0.004718269250560019,0.004868220980333851,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5002879999999994,0.004667632358711506,0.004554507425144123,0.0047807572922788895,0.004783715912357364,0.004708501114468706,0.004858930710246023,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5124469999999994,0.004653347912358288,0.004537458061254366,0.004769237763462211,0.0047741867092677935,0.0046986486045424115,0.0048497248139931755,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5246059999999995,0.004639374837586239,0.0045204883334458955,0.0047582613417265825,0.004764657506178223,0.004688712798345784,0.004840602214010662,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5367649999999995,0.004625710001750739,0.004503665535728726,0.004747754467772753,0.004755128303088652,0.004678695025204037,0.004831561580973268,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5489239999999995,0.004612350272207166,0.004487047302439041,0.004737653241975291,0.004745599099999082,0.004668596845312614,0.004822601354685549,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5610829999999993,0.004599292516310898,0.004470682241302726,0.00472790279131907,0.004736069896909511,0.004658420026184616,0.004813719767634406,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5732419999999994,0.004586533601417313,0.004454610823103411,0.004718456379731215,0.00472654069381994,0.0046481665172145884,0.004804914870425292,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5854009999999994,0.004574070394881791,0.004438866359207938,0.0047092744305556435,0.00471701149073037,0.004637838423139672,0.0047961845583210675,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.5975599999999992,0.004561899764059709,0.004423475962809641,0.0047003235653097775,0.004707482287640799,0.004627437977143074,0.004787526598138524,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6097189999999992,0.004550018576306445,0.004408461436903236,0.004691575715709654,0.004697953084551228,0.004616967514277434,0.004778938654825023,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6218779999999993,0.0045384236989773775,0.004393840063273321,0.004683007334681434,0.004688423881461658,0.004606429445795157,0.004770418317128158,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6340369999999993,0.004527111999427886,0.004379625285869013,0.004674598712986759,0.004678894678372085,0.004595826234868283,0.004761963121875888,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6461959999999993,0.004516080345013348,0.004365827292599988,0.004666333397426709,0.0046693654752825164,0.0045851603740700506,0.004753570576494982,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6583549999999994,0.004505325603089141,0.004352453504836085,0.004658197701342197,0.004659836272192944,0.00457443436488146,0.004745238179504428,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6705139999999994,0.004494844641010645,0.004339508985876577,0.004650180296144713,0.004650307069103373,0.004563650699384479,0.004736963438822268,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6826729999999992,0.004484634326133238,0.004326996779803206,0.00464227187246327,0.004640777866013803,0.004552811844213016,0.00472874388781459,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.6948319999999992,0.004474691525812298,0.00431491819133726,0.004634464860287335,0.004631248662924232,0.0045419202267561465,0.004720577099092318,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.706990999999999,0.004465013107403203,0.004303273016117752,0.004626753198688654,0.0046217194598346615,0.004530978223545994,0.004712460696123329,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.719149999999999,0.0044555959382613294,0.004292059729506005,0.004619132147016654,0.004612190256745091,0.00451998815071526,0.004704392362774922,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.731308999999999,0.00444643688574206,0.00428127564075974,0.004611598130724381,0.00460266105365552,0.004508952256375557,0.004696369850935483,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.7434679999999991,0.00443753281720077,0.004270917018281297,0.004604148616120242,0.00459313185056595,0.0044978727147460245,0.004688390986385875,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.7556269999999992,0.00442888059999284,0.004260979190656724,0.004596782009328956,0.004583602647476379,0.004486751621850209,0.004680453673102549,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.7677859999999992,0.004420477101473646,0.004251456627366247,0.004589497575581045,0.004574073444386808,0.0044755909925961275,0.004672555896177489,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.7799449999999992,0.004412319188998566,0.004242343002351752,0.004582295375645381,0.004564544241297238,0.004464392759057847,0.004664695723536628,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.792103999999999,0.004404403729922981,0.004233631243057157,0.004575176216788805,0.004555015038207667,0.004453158769785096,0.004656871306630238,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.804262999999999,0.004396727591602268,0.004225313567096893,0.004568141616107642,0.004545485835118096,0.004441890789978983,0.00464908088025721,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.816421999999999,0.004389287641391804,0.00421738150834057,0.004561193774443037,0.004535956632028526,0.004430590502385457,0.0046413227616715945,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.828580999999999,0.004382080746646969,0.004209825933915207,0.004554335559378731,0.004526427428938955,0.004419259508772866,0.004633595349105044,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.840739999999999,0.00437510377472314,0.0042026370534092895,0.00454757049603699,0.004516898225849384,0.004407899331874852,0.004625897119823917,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.852898999999999,0.004368353592975698,0.004195804421407094,0.004540902764544302,0.004507369022759814,0.004396511417694587,0.004618226627825041,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.865057999999999,0.004361827068760019,0.004189316934380616,0.004534337203139422,0.004497839819670243,0.00438509713808024,0.004610582501260246,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.877216999999999,0.004355521069431482,0.004183162822915973,0.00452787931594699,0.0044883106165806725,0.00437365779349466,0.004602963439666685,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.889375999999999,0.004349432462345464,0.004177329640247838,0.004521535284443091,0.004478781413491102,0.004362194615914101,0.004595368211068103,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.901534999999999,0.004343558114857346,0.0041718042481176856,0.004515311981597006,0.004469252210401531,0.004350708771801543,0.00458779564900152,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.913693999999999,0.004337894894322503,0.004166572801057672,0.004509216987587335,0.004459723007311961,0.004339201365109663,0.004580244649514258,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.925852999999999,0.004332439668096317,0.004161620730330098,0.004503258605862537,0.00445019380422239,0.004327673440276847,0.004572714168167933,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
