term,beta,se
const,0.7410607584268905,0.12556030613345812
age_at_tau,0.042363046888143414,0.13626692179872896
sex_male,0.1822512760181741,0.13082547627964958
education_years,-0.18682611565344578,0.13082685242762257
apoe4_carrier,-0.2088103703098665,0.13127765082396328
tau_temporal_suvr,-0.08321028978613926,0.15026383150598407
baseline_cdrsb,-0.1254509765549762,0.14698329659495743
baseline_offset_days,-0.0817272734237375,0.12964308880577413
opportunity_years,0.6681102674287303,0.12301439730752213
