cohort,n,minimum,median,maximum
all_eligible,336,0.15936241461617873,0.7169889717451544,0.8945998946131969
with_followup,223,0.1968214758682996,0.7429782266380077,0.8945998946131969
without_followup,113,0.15936241461617873,0.6511561876039883,0.8692095865621589
