"feature_id","entrez_id","log2_fold_change","average_expression","moderated_t","p_value","fdr_bh","B","primary_direction","log2_fold_change_leave_out_EC","log2_fold_change_leave_out_FC","log2_fold_change_leave_out_TC","direction_robust","gene_symbol","sex_chromosome_interpretation","retained_after_excluding_uty"
"2878437","929","-0.965070832238777","7.74316661971831","-4.2192326549492","3.67035286292021e-05","0.0472787963446057","1.9546906802636","down","-0.857026433340811","-1.04865393779684","-0.989532125578672","TRUE","CD14","non-UTY robust gene",TRUE
"3888613","1051","-0.425081754808751","7.32928704225352","-4.30269115693311","2.60335438366672e-05","0.0409303095277772","2.24914066065349","down","-0.462105342554878","-0.413615289511749","-0.399524632359638","TRUE","CEBPB","non-UTY robust gene",TRUE
"2773958","3627","-1.87997490108007","4.2072420657277","-4.76700306954215","3.52628349281927e-06","0.0132187950930098","3.96989256339919","down","-1.86488651641862","-1.90498979756534","-1.87004838925626","TRUE","CXCL10","non-UTY robust gene",TRUE
"3861948","9535","-0.55702636143806","7.21590525821596","-4.26422626561614","3.05207258252252e-05","0.0419869810086895","2.11277635650424","down","-0.498189053275499","-0.638769126317466","-0.534120904721222","TRUE","GMFG","non-UTY robust gene",TRUE
"3830306","57817","-0.935985097304936","8.12562225352113","-5.05302404331291","9.55716924529276e-07","0.00718662698653611","5.09843314960746","down","-0.907947525580147","-0.931370328884622","-0.968637437450045","TRUE","HAMP","non-UTY robust gene",TRUE
"3881651","3055","-0.486806906274052","6.97131211267606","-4.55631223103594","8.89853557403588e-06","0.0178059696836458","3.17183642596299","down","-0.493076284877692","-0.507608325984276","-0.459736107960185","TRUE","HCK","non-UTY robust gene",TRUE
"2770305","84525","-0.522714017104612","7.04974638497653","-4.44672507550823","1.4231057521871e-05","0.0255413878463203","2.7678467678822","down","-0.441527411136841","-0.560184269252379","-0.566430370924619","TRUE","HOPX","non-UTY robust gene",TRUE
"3820443","3383","-0.847726559721052","6.62438577464789","-4.75496889984149","3.72089037287756e-06","0.0132187950930098","3.9235265005149","down","-0.871871583717353","-0.845830653745756","-0.825477441700053","TRUE","ICAM1","non-UTY robust gene",TRUE
"2875348","3659","-0.709062326924609","6.47129","-4.98568494372282","1.30600644887304e-06","0.00718662698653611","4.82822784133472","down","-0.724965329328343","-0.71632208045886","-0.685899570986628","TRUE","IRF1","non-UTY robust gene",TRUE
"3833728","80271","-0.389485464276897","6.8494365258216","-4.28263369341728","2.82846692946141e-05","0.0415049237229168","2.17800470085961","down","-0.349275270506768","-0.394488630839317","-0.42469249148461","TRUE","ITPKC","non-UTY robust gene",TRUE
"3854627","3718","-0.311517140462144","6.83289333333333","-4.66777749527898","5.47256325610549e-06","0.013384065536682","3.59071291981107","down","-0.262106375872651","-0.325342103427281","-0.347102942086494","TRUE","JAK3","non-UTY robust gene",TRUE
"2489172","10797","-0.669404592128971","6.76332455399061","-4.56687685766191","8.50456231851767e-06","0.0178059696836458","3.21084686356715","down","-0.576059207256987","-0.760548617815489","-0.671605951314437","TRUE","MTHFD2","non-UTY robust gene",TRUE
"2661992","5021","-0.48806060049192","6.55978427230047","-4.72743805207759","4.20387831770791e-06","0.0132187950930098","3.81819388414921","down","-0.500061211628999","-0.50613419220111","-0.457986397645651","TRUE","OXTR","non-UTY robust gene",TRUE
"3403092","5777","-0.353882064540485","6.76586577464789","-4.18740357655901","4.1766759769413e-05","0.0472787963446057","1.84399358485858","down","-0.312147325093684","-0.381369335206503","-0.368129533321272","TRUE","PTPN6","non-UTY robust gene",TRUE
"2950214","6890","-0.63418562745147","7.42963488262911","-4.670971239726","5.39814994483758e-06","0.013384065536682","3.60253032341641","down","-0.603903573237608","-0.672711578410801","-0.625941730705998","TRUE","TAP1","non-UTY robust gene",TRUE
"3553531","7127","-0.414413659148829","6.94255953051643","-4.18046273004813","4.29592443274778e-05","0.0472787963446057","1.81989163132071","down","-0.434657338941875","-0.400225270310876","-0.408358368193736","TRUE","TNFAIP2","non-UTY robust gene",TRUE
"4035017","7404","0.482684451044875","5.49795323943662","4.18695924925762","4.1843791348436e-05","0.0472787963446057","1.84241837271315","up","0.559313491280176","0.465843133216337","0.422896728638109","TRUE","UTY","Y-chromosome gene; interpret separately from non-sex-chromosome molecular context",FALSE
