braak_stage,donors,n_age,age_mean,age_sd,age_median
0,13,13,71.15384615384616,10.204951035699565,70.0
I-II,20,20,78.45,2.41650029675366,78.0
III-IV,19,19,82.63157894736842,4.716525631764098,82.0
V-VI,19,19,82.94736842105263,4.719624328394114,83.0
