"feature_id","entrez_id","mapping_status"
"2321645","55092","unique_entrez_id"
"2321779","79180","unique_entrez_id"
"2321797","11330","unique_entrez_id"
"2321813","51032;63036","ambiguous_multiple_entrez"
"2321828","51032","unique_entrez_id"
"2321849","23341","unique_entrez_id"
"2321911","84301","unique_entrez_id"
"2321942","6248;84301","ambiguous_multiple_entrez"
"2321960","23207","unique_entrez_id"
"2322004","284723","unique_entrez_id"
"2322036","54751","unique_entrez_id"
"2322103","23013","unique_entrez_id"
"2322211","149563","unique_entrez_id"
"2322226","1187;1188","ambiguous_multiple_entrez"
"2322264","1187;1188","ambiguous_multiple_entrez"
"2322362","26099","unique_entrez_id"
"2322389","55707","unique_entrez_id"
"2322598","114819;26863;26869;26870;26871;2946;6060;84809;9696","ambiguous_multiple_entrez"
"2322786","29943","unique_entrez_id"
"2322818","51702","unique_entrez_id"
"2322848","23569","unique_entrez_id"
"2322894","353238","unique_entrez_id"
"2322957","55160","unique_entrez_id"
"2323087","81569","unique_entrez_id"
"2323172","84966","unique_entrez_id"
"2323285","127707","unique_entrez_id"
"2323347","5081","unique_entrez_id"
"2323559","51154","unique_entrez_id"
"2323603","54896","unique_entrez_id"
"2323743","644068","unique_entrez_id"
"2323774","100532736;105376819;440574;4681","ambiguous_multiple_entrez"
"2323790","3362","unique_entrez_id"
"2323847","5322","unique_entrez_id"
"2323882","64600","unique_entrez_id"
"2323899","105376825;127733","ambiguous_multiple_entrez"
"2323951","127731","unique_entrez_id"
"2324061","163933","unique_entrez_id"
"2324084","978","unique_entrez_id"
"2324097","102464833;65018","ambiguous_multiple_entrez"
"2324341","55672;84224","ambiguous_multiple_entrez"
"2324416","249","unique_entrez_id"
"2324571","10136;23436","ambiguous_multiple_entrez"
"2324594","10136;23436","ambiguous_multiple_entrez"
"2324616","29092","unique_entrez_id"
"2324634","100128627;998","ambiguous_multiple_entrez"
"2324743","9923","unique_entrez_id"
"2324820","2046","unique_entrez_id"
"2324856","712","unique_entrez_id"
"2324873","714","unique_entrez_id"
"2324884","713","unique_entrez_id"
"2324919","2048;85025","ambiguous_multiple_entrez"
"2325002","23028","unique_entrez_id"
"2325113","148898","unique_entrez_id"
"2325158","259283","unique_entrez_id"
"2325192","6135","unique_entrez_id"
"2325197","","unmapped_entrez"
"2325198","","unmapped_entrez"
"2325200","","unmapped_entrez"
"2325201","","unmapped_entrez"
"2325203","","unmapped_entrez"
"2325205","","unmapped_entrez"
"2325206","","unmapped_entrez"
"2325210","","unmapped_entrez"
"2325212","","unmapped_entrez"
"2325214","","unmapped_entrez"
"2325216","","unmapped_entrez"
"2325218","","unmapped_entrez"
"2325220","","unmapped_entrez"
"2325222","","unmapped_entrez"
"2325224","","unmapped_entrez"
"2325251","6924","unique_entrez_id"
"2325274","57095","unique_entrez_id"
"2325290","11313;388499","ambiguous_multiple_entrez"
"2325358","57822","unique_entrez_id"
"2325410","57185","unique_entrez_id"
"2325479","11123","unique_entrez_id"
"2325526","10250","unique_entrez_id"
"2325593","105376876;25932","ambiguous_multiple_entrez"
"2325877","6006;6007","ambiguous_multiple_entrez"
"2326018","26119","unique_entrez_id"
"2326049","57134","unique_entrez_id"
"2326126","57190","unique_entrez_id"
"2326157","56181","unique_entrez_id"
"2326237","2134","unique_entrez_id"
"2326286","149420","unique_entrez_id"
"2326295","79927","unique_entrez_id"
"2326311","51042","unique_entrez_id"
"2326327","10256","unique_entrez_id"
"2326410","64793","unique_entrez_id"
"2326448","83442","unique_entrez_id"
"2326463","1043","unique_entrez_id"
"2326485","79727","unique_entrez_id"
"2326496","79947","unique_entrez_id"
"2326531","3151;57570","ambiguous_multiple_entrez"
"2326561","6195","unique_entrez_id"
"2326640","8289","unique_entrez_id"
"2326707","55650","unique_entrez_id"
"2326749","84243","unique_entrez_id"
"2326774","2810","unique_entrez_id"
"2326799","10726","unique_entrez_id"
"2326846","388610","unique_entrez_id"
"2326912","23038","unique_entrez_id"
"2326954","644961;84065","ambiguous_multiple_entrez"
"2326993","84958","unique_entrez_id"
"2327045","2827","unique_entrez_id"
"2327188","199870","unique_entrez_id"
"2327219","23673","unique_entrez_id"
"2327259","5511;677774","ambiguous_multiple_entrez"
"2327283","9473","unique_entrez_id"
"2327310","27293","unique_entrez_id"
"2327338","55113","unique_entrez_id"
"2327375","93974","unique_entrez_id"
"2327391","83667","unique_entrez_id"
"2327418","54797","unique_entrez_id"
"2327482","1104;26768;6080;8420","ambiguous_multiple_entrez"
"2327542","54952","unique_entrez_id"
"2327572","115273","unique_entrez_id"
"2327603","10691","unique_entrez_id"
"2327630","51441","unique_entrez_id"
"2327659","4985","unique_entrez_id"
"2327677","2035","unique_entrez_id"
"2327817","10076","unique_entrez_id"
"2328236","51538","unique_entrez_id"
"2328273","347735","unique_entrez_id"
"2328320","149086;64129","ambiguous_multiple_entrez"
"2328387","3061","unique_entrez_id"
"2328465","10657","unique_entrez_id"
"2328475","","unmapped_entrez"
"2328476","","unmapped_entrez"
"2328477","","unmapped_entrez"
"2328484","","unmapped_entrez"
"2328486","","unmapped_entrez"
"2328487","","unmapped_entrez"
"2328488","","unmapped_entrez"
"2328489","","unmapped_entrez"
"2328492","","unmapped_entrez"
"2328494","","unmapped_entrez"
"2328496","","unmapped_entrez"
"2328499","","unmapped_entrez"
"2328500","","unmapped_entrez"
"2328501","","unmapped_entrez"
"2328502","","unmapped_entrez"
"2328503","","unmapped_entrez"
"2328504","","unmapped_entrez"
"2328511","","unmapped_entrez"
"2328513","","unmapped_entrez"
"2328515","","unmapped_entrez"
"2328517","","unmapped_entrez"
"2328519","","unmapped_entrez"
"2328521","","unmapped_entrez"
"2328523","","unmapped_entrez"
"2328525","","unmapped_entrez"
"2328527","","unmapped_entrez"
"2328529","","unmapped_entrez"
"2328531","","unmapped_entrez"
"2328533","","unmapped_entrez"
"2328535","","unmapped_entrez"
"2328537","","unmapped_entrez"
"2328539","","unmapped_entrez"
"2328541","","unmapped_entrez"
"2328543","","unmapped_entrez"
"2328545","","unmapped_entrez"
"2328547","","unmapped_entrez"
"2328549","","unmapped_entrez"
"2328551","","unmapped_entrez"
"2328553","","unmapped_entrez"
"2328555","","unmapped_entrez"
"2328557","","unmapped_entrez"
"2328559","","unmapped_entrez"
"2328561","","unmapped_entrez"
"2328563","","unmapped_entrez"
"2328565","","unmapped_entrez"
"2328567","","unmapped_entrez"
"2328569","","unmapped_entrez"
"2328571","","unmapped_entrez"
"2328573","","unmapped_entrez"
"2328575","","unmapped_entrez"
"2328577","","unmapped_entrez"
"2328579","","unmapped_entrez"
"2328581","","unmapped_entrez"
"2328583","","unmapped_entrez"
"2328585","","unmapped_entrez"
"2328587","","unmapped_entrez"
"2328589","","unmapped_entrez"
"2328591","","unmapped_entrez"
"2328593","","unmapped_entrez"
"2328595","","unmapped_entrez"
"2328597","","unmapped_entrez"
"2328599","","unmapped_entrez"
"2328601","","unmapped_entrez"
"2328603","","unmapped_entrez"
"2328605","","unmapped_entrez"
"2328607","","unmapped_entrez"
"2328609","","unmapped_entrez"
"2328611","","unmapped_entrez"
"2328613","","unmapped_entrez"
"2328615","","unmapped_entrez"
"2328617","","unmapped_entrez"
"2328619","","unmapped_entrez"
"2328621","","unmapped_entrez"
"2328623","","unmapped_entrez"
"2328633","55116","unique_entrez_id"
"2328674","23633","unique_entrez_id"
"2328713","200081","unique_entrez_id"
"2328750","79140","unique_entrez_id"
"2328767","55721","unique_entrez_id"
"2328808","8668","unique_entrez_id"
"2328837","84734","unique_entrez_id"
"2328841","3932","unique_entrez_id"
"2328868","3065","unique_entrez_id"
"2328909","81629","unique_entrez_id"
"2328936","653121;728116","ambiguous_multiple_entrez"
"2328990","5928","unique_entrez_id"
"2329041","57648","unique_entrez_id"
"2329077","64766","unique_entrez_id"
"2329131","3208","unique_entrez_id"
"2329196","113451","unique_entrez_id"
"2329266","149076","unique_entrez_id"
"2329341","7579","unique_entrez_id"
"2329386","127540","unique_entrez_id"
"2329481","84970","unique_entrez_id"
"2329669","79830","unique_entrez_id"
"2329752","9202","unique_entrez_id"
"2329887","23154","unique_entrez_id"
"2329920","339488","unique_entrez_id"
"2330002","192670","unique_entrez_id"
"2330075","192669;26523","ambiguous_multiple_entrez"
"2330133","192669","unique_entrez_id"
"2330234","27285","unique_entrez_id"
"2330253","54936","unique_entrez_id"
"2330289","55700","unique_entrez_id"
"2330334","9967","unique_entrez_id"
"2330393","79729","unique_entrez_id"
"2330687","102465438;80149","ambiguous_multiple_entrez"
"2330723","7802","unique_entrez_id"
"2330773","55143","unique_entrez_id"
"2330843","149175","unique_entrez_id"
"2330899","51118","unique_entrez_id"
"2331158","79647","unique_entrez_id"
"2331178","4725","unique_entrez_id"
"2331213","23499","unique_entrez_id"
"2331505","23499","unique_entrez_id"
"2331511","353500;64064;656","ambiguous_multiple_entrez"
"2331558","353500","unique_entrez_id"
"2331602","10450;55246;728448","ambiguous_multiple_entrez"
"2331679","84879","unique_entrez_id"
"2331727","10487","unique_entrez_id"
"2331771","6018","unique_entrez_id"
"2331822","10269","unique_entrez_id"
"2331857","64744","unique_entrez_id"
"2331903","65243","unique_entrez_id"
"2331937","339559","unique_entrez_id"
"2331959","64789","unique_entrez_id"
"2331974","127396","unique_entrez_id"
"2332013","407031;407034;4802","ambiguous_multiple_entrez"
"2332091","9132","unique_entrez_id"
"2332144","1503","unique_entrez_id"
"2332481","2981","unique_entrez_id"
"2332528","284716","unique_entrez_id"
"2332566","79717","unique_entrez_id"
"2332583","728621","unique_entrez_id"
"2332711","10465","unique_entrez_id"
"2332767","100129924;79078","ambiguous_multiple_entrez"
"2332812","114625","unique_entrez_id"
"2332855","51058","unique_entrez_id"
"2332999","149465","unique_entrez_id"
"2333035","128218","unique_entrez_id"
"2333051","7075","unique_entrez_id"
"2333107","4352","unique_entrez_id"
"2333136","991","unique_entrez_id"
"2333168","23334","unique_entrez_id"
"2333195","23334","unique_entrez_id"
"2333318","5792","unique_entrez_id"
"2333429","9682","unique_entrez_id"
"2333481","102464830;6487","ambiguous_multiple_entrez"
"2333574","9048","unique_entrez_id"
"2333599","9670","unique_entrez_id"
"2333635","1802","unique_entrez_id"
"2333658","533","unique_entrez_id"
"2333663","","unmapped_entrez"
"2333667","","unmapped_entrez"
"2333669","","unmapped_entrez"
"2333670","","unmapped_entrez"
"2333671","","unmapped_entrez"
"2333672","","unmapped_entrez"
"2333673","","unmapped_entrez"
"2333675","","unmapped_entrez"
"2333676","","unmapped_entrez"
"2333677","","unmapped_entrez"
"2333678","8704","unique_entrez_id"
"2333707","149473","unique_entrez_id"
"2333777","128209","unique_entrez_id"
"2333794","55929","unique_entrez_id"
"2333907","55182","unique_entrez_id"
"2334052","339541","unique_entrez_id"
"2334098","11004","unique_entrez_id"
"2334191","1263","unique_entrez_id"
"2334279","7389","unique_entrez_id"
"2334314","84842","unique_entrez_id"
"2334319","114034","unique_entrez_id"
"2334350","25974","unique_entrez_id"
"2334374","10327","unique_entrez_id"
"2334404","4678","unique_entrez_id"
"2334459","51249","unique_entrez_id"
"2334476","23139","unique_entrez_id"
"2334602","10103","unique_entrez_id"
"2334629","541468","unique_entrez_id"
"2334646","8438","unique_entrez_id"
"2334706","387338","unique_entrez_id"
"2334740","2166","unique_entrez_id"
"2334847","127343","unique_entrez_id"
"2334932","1580","unique_entrez_id"
"2334986","260293","unique_entrez_id"
"2335014","163720;199974","ambiguous_multiple_entrez"
"2335048","1579;284541","ambiguous_multiple_entrez"
"2335132","51727","unique_entrez_id"
"2335160","2301","unique_entrez_id"
"2335172","2306","unique_entrez_id"
"2335671","1996","unique_entrez_id"
"2335922","1031","unique_entrez_id"
"2335986","26994","unique_entrez_id"
"2336099","114883","unique_entrez_id"
"2336271","91408","unique_entrez_id"
"2336302","9372","unique_entrez_id"
"2336375","100420258","unique_entrez_id"
"2336383","84950","unique_entrez_id"
"2336439","2882","unique_entrez_id"
"2336456","348378","unique_entrez_id"
"2336497","79699","unique_entrez_id"
"2336539","440590","unique_entrez_id"
"2336585","6342","unique_entrez_id"
"2336650","127435","unique_entrez_id"
"2336706","105378724;1376","ambiguous_multiple_entrez"
"2336809","63948","unique_entrez_id"
"2336891","1733","unique_entrez_id"
"2336913","115353","unique_entrez_id"
"2336963","127428","unique_entrez_id"
"2337003","51253","unique_entrez_id"
"2337147","26027","unique_entrez_id"
"2337217","100527960;374977","ambiguous_multiple_entrez"
"2337285","100527960;7268","ambiguous_multiple_entrez"
"2337327","163747","unique_entrez_id"
"2337369","199964","unique_entrez_id"
"2337392","7809","unique_entrez_id"
"2337407","255738","unique_entrez_id"
"2337524","","unmapped_entrez"
"2337716","5563","unique_entrez_id"
"2337786","731","unique_entrez_id"
"2338487","55277","unique_entrez_id"
"2338625","51361","unique_entrez_id"
"2338719","4774","unique_entrez_id"
"2339109","414927","unique_entrez_id"
"2339139","10207","unique_entrez_id"
"2339328","106478910","unique_entrez_id"
"2339334","54596","unique_entrez_id"
"2339414","105378768;7398","ambiguous_multiple_entrez"
"2339454","27329","unique_entrez_id"
"2339511","84938","unique_entrez_id"
"2339658","27022","unique_entrez_id"
"2339682","29929","unique_entrez_id"
"2339740","102724319;79469;84455;8847","ambiguous_multiple_entrez"
"2339786","5236","unique_entrez_id"
"2339872","4919","unique_entrez_id"
"2339997","148581","unique_entrez_id"
"2340078","57685","unique_entrez_id"
"2340186","55225","unique_entrez_id"
"2340315","205","unique_entrez_id"
"2340350","9829","unique_entrez_id"
"2340423","","unmapped_entrez"
"2340433","3953;54741","ambiguous_multiple_entrez"
"2340529","5142","unique_entrez_id"
"2340695","84251","unique_entrez_id"
"2340819","200132","unique_entrez_id"
"2340845","57708","unique_entrez_id"
"2340930","149233","unique_entrez_id"
"2340961","3595","unique_entrez_id"
"2341083","1647","unique_entrez_id"
"2341387","105378789;57554","ambiguous_multiple_entrez"
"2341535","5301","unique_entrez_id"
"2341565","9295","unique_entrez_id"
"2341645","11147","unique_entrez_id"
"2341663","1491","unique_entrez_id"
"2342176","100526835;8790","ambiguous_multiple_entrez"
"2342220","100526835;51086;8790","ambiguous_multiple_entrez"
"2342391","127253","unique_entrez_id"
"2342475","431707","unique_entrez_id"
"2342576","34","unique_entrez_id"
"2342624","26804;26805;5876;692085","ambiguous_multiple_entrez"
"2342665","4438;5876","ambiguous_multiple_entrez"
"2342738","256435","unique_entrez_id"
"2342904","81849","unique_entrez_id"
"2343025","26289","unique_entrez_id"
"2343170","374986;84081","ambiguous_multiple_entrez"
"2343231","91624","unique_entrez_id"
"2343289","11080","unique_entrez_id"
"2343334","54810","unique_entrez_id"
"2343418","5737","unique_entrez_id"
"2343473","10964","unique_entrez_id"
"2343511","10561","unique_entrez_id"
"2343823","23266","unique_entrez_id"
"2344393","5567","unique_entrez_id"
"2344450","100128775;4738","ambiguous_multiple_entrez"
"2344511","58511","unique_entrez_id"
"2344542","80135","unique_entrez_id"
"2344577","100505741","unique_entrez_id"
"2344731","100616481;126820","ambiguous_multiple_entrez"
"2344888","3491","unique_entrez_id"
"2344984","9635","unique_entrez_id"
"2345023","1179","unique_entrez_id"
"2345061","22802","unique_entrez_id"
"2345095","9629","unique_entrez_id"
"2345128","51100","unique_entrez_id"
"2345196","9653","unique_entrez_id"
"2345239","339524","unique_entrez_id"
"2345286","101927844;8543","ambiguous_multiple_entrez"
"2345617","5586","unique_entrez_id"
"2345816","163351","unique_entrez_id"
"2345880","23507","unique_entrez_id"
"2345929","84230","unique_entrez_id"
"2346023","55144","unique_entrez_id"
"2346074","284695","unique_entrez_id"
"2346399","8317","unique_entrez_id"
"2346575","676","unique_entrez_id"
"2346625","253152","unique_entrez_id"
"2346657","284697","unique_entrez_id"
"2346738","79871","unique_entrez_id"
"2346863","26782;6083;6125","ambiguous_multiple_entrez"
"2346934","22823","unique_entrez_id"
"2347023","343099","unique_entrez_id"
"2347096","1810","unique_entrez_id"
"2347132","54874","unique_entrez_id"
"2347502","5825","unique_entrez_id"
"2347625","126969","unique_entrez_id"
"2347732","100527978;148534","ambiguous_multiple_entrez"
"2347788","100527978;25950","ambiguous_multiple_entrez"
"2348060","58155","unique_entrez_id"
"2348437","51375","unique_entrez_id"
"2348514","9890","unique_entrez_id"
"2348569","54873","unique_entrez_id"
"2348634","178","unique_entrez_id"
"2348702","23443","unique_entrez_id"
"2348757","64645","unique_entrez_id"
"2348792","54482","unique_entrez_id"
"2348854","8634","unique_entrez_id"
"2348896","8556","unique_entrez_id"
"2348962","54112","unique_entrez_id"
"2348992","7412","unique_entrez_id"
"2349043","148867","unique_entrez_id"
"2349086","","unmapped_entrez"
"2349129","1901","unique_entrez_id"
"2349211","94236","unique_entrez_id"
"2349345","280;55599","ambiguous_multiple_entrez"
"2349402","276;277;278;279;280;648740","ambiguous_multiple_entrez"
"2349848","55170","unique_entrez_id"
"2349863","22854","unique_entrez_id"
"2350287","55119","unique_entrez_id"
"2350316","163479","unique_entrez_id"
"2350339","6814","unique_entrez_id"
"2350391","642864","unique_entrez_id"
"2350489","57535","unique_entrez_id"
"2350551","6301","unique_entrez_id"
"2350596","1952","unique_entrez_id"
"2350714","284612","unique_entrez_id"
"2350741","127002","unique_entrez_id"
"2350787","284613","unique_entrez_id"
"2350818","83873","unique_entrez_id"
"2350840","2773","unique_entrez_id"
