"feature_id","log2_fold_change","average_expression","moderated_t","p_value","fdr_bh","B"
"2315554",-0.0774812337019544,6.69799563380282,-0.854907405559905,0.393592822524043,0.767700667939164,-5.43210490233843
"2315633",-0.114865946189167,6.89470568075117,-1.70652800613752,0.0894125840711075,0.554185474947146,-4.45160652301787
"2315674",-0.0668578666157789,6.92379582159624,-0.853326214094328,0.394466799895621,0.767700667939164,-5.43332599418802
"2315739",-0.144113983579966,7.00663962441315,-1.99274376803161,0.047605800301004,0.480973993267025,-3.97972654336918
"2315894",0.068263622773193,8.40240384976526,0.52621730319165,0.599302059256868,0.861923054260817,-5.6375777827007
"2315918",-0.26280447801926,6.28558488262911,-1.81088483629589,0.0716126555578518,0.521769666164805,-4.28772164466791
"2315951",-0.141730708051304,8.03869497652582,-1.32038499766813,0.188167590131562,0.64904179160327,-4.97557560445805
"2316218",-0.169515651430254,6.07541291079812,-0.998978677391593,0.318974730621757,0.729112051754505,-5.31144301646254
"2316245",-0.198569837572354,9.48415089201878,-1.66198477778399,0.0980329361978547,0.566749869607241,-4.51869070639607
"2316379",-0.0593478197592656,8.39289037558685,-0.724801995917636,0.469393685326983,0.800978712127469,-5.52507051310796
"2316558",-0.194009877644753,8.49590079812207,-1.85105221316676,0.0655896081214321,0.513325238883868,-4.22213169037217
"2316605",-0.11546939531797,7.0692261971831,-1.62272747938337,0.106172786927672,0.573396219417715,-4.5763839180252
"2316746",-0.190347844258378,8.58711178403756,-2.20071287729133,0.0288643723525409,0.419506297415049,-3.59299945888577
"2316905",-0.0530339441111343,6.16467352112676,-0.45786477022172,0.647530909245379,0.881162463270481,-5.66806547780262
"2316953",0.00396322560890017,7.36153126760563,0.0479919578694005,0.961769018931164,0.990582103712441,-5.76210893645621
"2317246",-0.083196086913075,6.44339892018779,-1.00629536240804,0.315450784969727,0.727901160071327,-5.30482057891171
"2317317",-0.103044917200248,6.77158037558685,-1.18994985390986,0.235431899288011,0.681495467547134,-5.12294006138136
"2317434",-0.0304672607446914,9.43250309859155,-0.23499173324107,0.814448057622713,0.944660177917138,-5.73809666120857
"2317472",-0.0776326283611235,6.304240657277,-0.994537453826467,0.321124815966548,0.730052906902794,-5.31544081658545
"2317512",-0.047694056523766,6.8660296713615,-0.961134301381446,0.337608311991183,0.739559768634348,-5.34493787884819
"2317686",0.0213664067172914,7.93994154929577,0.189854201133809,0.849609809110487,0.957046022541484,-5.74679754392125
"2318086",-0.211419619490956,10.0092229107981,-0.99540556836608,0.320704569405037,0.729919663521715,-5.31466010606329
"2318157",-0.102645831907951,6.52849624413146,-1.15484057601117,0.24948985914247,0.689612040865831,-5.16003046945457
"2318170",-0.0233383130630225,7.2833434741784,-0.329150147489746,0.742375674439415,0.919627373476579,-5.71400017789238
"2318212",-0.121009589975723,5.79095154929577,-1.05812726358079,0.291233285360298,0.71218040707316,-5.25653249404408
"2318242",-0.126859302793259,7.34736417840376,-0.968479312360289,0.333938256406647,0.737796270078298,-5.33853674213533
"2318257",-0.0644603582301482,7.237060657277,-0.652642703797847,0.514712272416738,0.823173132904514,-5.57006578128198
"2318338",-0.0789341196083484,5.79413596244131,-1.05613665634443,0.292139369477824,0.712828376583614,-5.2584313285508
"2318364",-0.140456300536983,6.07823352112676,-1.98051737219864,0.04897252169104,0.485555934658325,-4.00131991836196
"2318398",-0.150639221972757,7.1405885915493,-2.38296437907208,0.0180802178867436,0.363105543709044,-3.22419884060229
"2318416",-0.109586426153788,4.98290422535211,-0.841830700298021,0.400856796141721,0.770057869695554,-5.44213554414325
"2318455",0.099242103398872,8.39657708920188,0.544730488638411,0.586526953374775,0.856899294486405,-5.62859332251777
"2318637",0.112961247711556,8.55228563380282,0.991560491237934,0.32257207389933,0.731238656543248,-5.31811007837137
"2318656",0.332292874244308,8.22638211267606,3.2303426374377,0.00143864333395371,0.16407242706557,-1.15424682718627
"2318736",-0.228857787103786,8.5472341314554,-1.90862296324324,0.0576973840557352,0.503136118436999,-4.12571489590771
"2318743",-0.529271927681441,8.54021610328638,-2.42435330094213,0.0161968949225673,0.346943897861812,-3.13661652215148
"2318744",-0.386622581631295,10.6076066666667,-2.64469865961218,0.00880511884256255,0.270082783713078,-2.64651439186588
"2318746",-0.189772821107073,10.6927453051643,-1.75565335873802,0.080629762185061,0.538599684805375,-4.37562878806648
"2318747",-0.255156729466286,9.97213422535211,-2.08899862640341,0.0379330822317906,0.457253599673573,-3.8052917700124
"2318751",0.0504639609034516,8.55241896713615,0.220029619659072,0.826065553387529,0.949132374359915,-5.74118552399786
"2318754",-0.226267037423632,8.63924408450704,-1.88234199025914,0.0611958260616028,0.508857817699926,-4.17008264551732
"2318755",0.308724142440416,6.63060244131455,1.18956967109388,0.235582168040538,0.681571911243466,-5.12334698537032
"2318759",0.0634801131517326,3.74321957746479,0.235163483934812,0.814314993051743,0.944655176139028,-5.73805999518601
"2318761",0.089922047645953,3.62119957746479,0.239598262746909,0.810879477819535,0.943504159554147,-5.73710474901401
"2318763",-0.0307185105134229,4.98597877934272,-0.154844275891045,0.877095397781202,0.966142763917369,-5.75227342383476
"2318765",0.183591444246753,10.7457680751174,1.59028658090056,0.113299611002647,0.581923895186084,-4.62304838180944
"2318767",-0.221390225282707,3.37211530516432,-0.958752940620988,0.338804928928666,0.740316293035233,-5.34700184989858
"2318769",0.0221509440685699,3.9204041314554,0.143555814409111,0.885991290315761,0.968203469920575,-5.75380197477552
"2318771",0.281209110851611,2.45807802816901,1.27190293726741,0.204838801953187,0.663666022801145,-5.03210797796549
"2318773",-0.139434535117475,2.12227319248826,-0.646474519209051,0.518690287658587,0.82533737595989,-5.57369372084621
"2318775",-0.0224302968435781,7.60660633802817,-0.222275632076164,0.824318924113406,0.948578707005141,-5.74073487827886
"2318777",0.141947843614278,2.74993892018779,0.480343025073913,0.631492193782816,0.875256431872388,-5.65850534352096
"2318779",-0.214762517767143,6.10099253521127,-1.12337890152416,0.262581531583206,0.698166388667917,-5.19233624253786
"2318781",0.298040813022742,5.37085896713615,1.45235025713162,0.14792269411692,0.61599490492061,-4.81119905560239
"2318783",-0.231590565553286,4.68167591549296,-0.753199866134915,0.4521880785546,0.793422141400965,-5.50607659003828
"2318785",-0.034149379397971,4.00114863849765,-0.118568587388115,0.905732466457912,0.974404080005355,-5.75677420994451
"2318787",0.21932290795804,5.10985436619718,1.00914177641557,0.314088196652232,0.726884165336168,-5.30223020162645
"2318789",-0.0110492626494829,2.11397489201878,-0.0244329248695884,0.980530891024942,0.993576348510726,-5.76288328632852
"2318791",0.370642863148881,4.67891178403756,1.21479299878303,0.225832939957854,0.676435469760998,-5.0960336141702
"2318793",0.349711141980745,4.04000971830986,1.25254454800672,0.211788807149509,0.667745767177695,-5.05410021965854
"2318795",-0.0524763445637317,5.34336539906103,-0.265826070437682,0.790638498180517,0.937450830172801,-5.73109068507299
"2318797",-0.0390714025464849,8.80208230046948,-0.297255127828657,0.766570617635299,0.927838106234805,-5.72306255691404
"2318799",0.09764035669461,9.58771629107981,1.145709498243,0.253240903648659,0.692605060910864,-5.16949737012618
"2318801",0.0571644030471123,3.91423821596244,0.228572310052949,0.819427649321805,0.946920210876386,-5.73944677325584
"2318803",0.105082776795083,12.8160037558685,2.14095004482549,0.033449697599074,0.43817206252398,-3.70787511731166
"2318805",-0.0179055196115145,5.60555323943662,-0.108029709896574,0.914077066500683,0.976683199099121,-5.75785793462433
"2318807",-0.0148146562578662,4.2117603286385,-0.058161409956817,0.953676327847989,0.988294239748686,-5.76161901539253
"2318809",-0.0852748370944632,4.17722107981221,-0.436722809148119,0.662768903851121,0.887586563872682,-5.67663960731328
"2318811",-0.0732009133467884,4.21574126760563,-0.292232161021818,0.770402656359623,0.92917350610026,-5.72440568765801
"2318813",0.144671387934578,5.81640943661972,0.652648567350722,0.514709099098317,0.823173132904514,-5.57006172612215
"2318815",0.00104636368188427,7.08854643192488,0.00738114318480305,0.994117882097839,0.998177004506724,-5.76312948509799
"2318817",-0.0388870208708436,12.3127300469484,-0.38924973832347,0.697492376450482,0.902504538125422,-5.6944192077953
"2318819",0.407294622822615,3.72513183098592,1.51154483323047,0.132179207846663,0.600354455513808,-4.73249498783313
"2318821",-0.290631258862986,8.07079136150235,-1.70969529341025,0.0888250771531025,0.553115969480631,-4.4467740855388
"2318823",0.299301795512955,9.0959482629108,1.58872000444498,0.11365423371218,0.582062481763661,-4.62528006926966
