"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:0008584",93,"Up",0.640982998059522,0.90568137381222,"Down","Up","Up",FALSE
"GO:0048566",12,"Down",0.641058420969966,0.90568137381222,"Down","Down","Down",FALSE
"GO:0000398",144,"Down",0.644907838815918,0.906448275763817,"Up","Down","Up",FALSE
"GO:0006986",47,"Down",0.644958464524955,0.906448275763817,"Up","Down","Up",FALSE
"GO:0010976",100,"Up",0.643219618790802,0.906448275763817,"Up","Up","Up",FALSE
"GO:0014898",12,"Up",0.644583830225672,0.906448275763817,"Up","Up","Up",FALSE
"GO:0030278",13,"Down",0.642200984350226,0.906448275763817,"Up","Down","Down",FALSE
"GO:0045429",30,"Down",0.642788167596703,0.906448275763817,"Down","Up","Down",FALSE
"GO:0046488",14,"Up",0.644130893673859,0.906448275763817,"Up","Up","Up",FALSE
"GO:0048169",15,"Up",0.643630530690183,0.906448275763817,"Up","Up","Up",FALSE
"GO:0050775",15,"Up",0.644489219745824,0.906448275763817,"Up","Up","Up",FALSE
"GO:0001662",30,"Up",0.645881871984949,0.907221357759205,"Up","Up","Up",FALSE
"GO:0010659",11,"Up",0.646544115093416,0.907558466930486,"Up","Up","Up",FALSE
"GO:2000434",15,"Up",0.646868833219589,0.907558466930486,"Up","Down","Up",FALSE
"GO:0002223",14,"Up",0.648293050720088,0.907983926945138,"Down","Up","Up",FALSE
"GO:0085029",13,"Down",0.647681330865478,0.907983926945138,"Down","Down","Down",FALSE
"GO:0099502",10,"Up",0.648187189094511,0.907983926945138,"Up","Up","Up",FALSE
"GO:0051968",26,"Up",0.649504536727842,0.908872634331397,"Up","Up","Up",FALSE
"GO:0070588",104,"Up",0.649675623799851,0.908872634331397,"Up","Up","Down",FALSE
"GO:0014002",12,"Up",0.650645451969225,0.909182546454984,"Up","Up","Up",FALSE
"GO:0043536",28,"Up",0.650583793573594,0.909182546454984,"Up","Up","Up",FALSE
"GO:0001881",10,"Up",0.651999873826276,0.909691786317632,"Up","Up","Up",FALSE
"GO:0001892",16,"Up",0.660494659567632,0.909691786317632,"Up","Up","Up",FALSE
"GO:0001895",11,"Down",0.651420837949743,0.909691786317632,"Down","Up","Down",FALSE
"GO:0001946",12,"Up",0.65780979469712,0.909691786317632,"Up","Up","Up",FALSE
"GO:0003382",13,"Down",0.652861953472732,0.909691786317632,"Down","Up","Down",FALSE
"GO:0006044",12,"Down",0.660269339189699,0.909691786317632,"Up","Down","Down",FALSE
"GO:0006351",53,"Up",0.662059443315235,0.909691786317632,"Up","Down","Up",FALSE
"GO:0006352",15,"Down",0.655951457481631,0.909691786317632,"Up","Down","Down",FALSE
"GO:0007268",199,"Up",0.6616904344963,0.909691786317632,"Up","Up","Down",FALSE
"GO:0007602",21,"Down",0.654367019303101,0.909691786317632,"Down","Up","Down",FALSE
"GO:0009416",19,"Down",0.661072487634593,0.909691786317632,"Down","Down","Down",FALSE
"GO:0009948",18,"Down",0.662240646088844,0.909691786317632,"Down","Down","Down",FALSE
"GO:0015813",23,"Up",0.657089492273557,0.909691786317632,"Up","Up","Down",FALSE
"GO:0016540",22,"Down",0.657650046992729,0.909691786317632,"Down","Down","Down",FALSE
"GO:0022008",67,"Up",0.653820029812535,0.909691786317632,"Up","Up","Up",FALSE
"GO:0030307",71,"Down",0.657856861430408,0.909691786317632,"Down","Down","Down",FALSE
"GO:0031398",65,"Up",0.660855109981728,0.909691786317632,"Up","Down","Up",FALSE
"GO:0031571",12,"Down",0.659942808752351,0.909691786317632,"Down","Down","Up",FALSE
"GO:0031647",82,"Up",0.655196065519894,0.909691786317632,"Up","Down","Up",FALSE
"GO:0042127",112,"Down",0.661535355800533,0.909691786317632,"Down","Down","Down",FALSE
"GO:0048013",47,"Up",0.660567304586392,0.909691786317632,"Up","Up","Up",FALSE
"GO:0050684",14,"Up",0.658599866929163,0.909691786317632,"Up","Down","Up",FALSE
"GO:0055075",15,"Down",0.654744897365886,0.909691786317632,"Down","Up","Down",FALSE
"GO:0060070",95,"Up",0.65316191934885,0.909691786317632,"Up","Up","Down",FALSE
"GO:0061564",32,"Up",0.661122161403967,0.909691786317632,"Up","Up","Down",FALSE
"GO:0071480",21,"Down",0.653315481609388,0.909691786317632,"Down","Down","Up",FALSE
"GO:0090009",10,"Down",0.65262022212667,0.909691786317632,"Down","Up","Down",FALSE
"GO:0098696",16,"Up",0.657981200309617,0.909691786317632,"Up","Up","Up",FALSE
"GO:1901029",11,"Down",0.661929716789225,0.909691786317632,"Down","Down","Down",FALSE
"GO:2000463",25,"Up",0.659812844768405,0.909691786317632,"Up","Up","Up",FALSE
"GO:0002026",14,"Up",0.663902701243014,0.910430905203456,"Up","Up","Up",FALSE
"GO:0034380",10,"Down",0.663743128175527,0.910430905203456,"Down","Down","Down",FALSE
"GO:0060038",20,"Up",0.663458861117732,0.910430905203456,"Up","Up","Up",FALSE
"GO:0016082",15,"Up",0.666489806434805,0.91243393218962,"Up","Up","Up",FALSE
"GO:0045598",10,"Down",0.666162678814357,0.91243393218962,"Down","Down","Down",FALSE
"GO:0065003",128,"Up",0.665953459922687,0.91243393218962,"Up","Up","Up",FALSE
"GO:0000045",54,"Up",0.667633945296478,0.912879976418039,"Up","Down","Up",FALSE
"GO:0030218",47,"Down",0.667728268045177,0.912879976418039,"Down","Down","Down",FALSE
"GO:0060575",10,"Up",0.667942632951141,0.912879976418039,"Up","Up","Up",FALSE
"GO:0006334",89,"Down",0.672019694982775,0.91639049315833,"Down","Down","Down",FALSE
"GO:0014044",12,"Up",0.671150232088366,0.91639049315833,"Up","Up","Up",FALSE
"GO:0043433",48,"Down",0.671847292116139,0.91639049315833,"Down","Down","Down",FALSE
"GO:0060044",10,"Down",0.671562513478224,0.91639049315833,"Down","Down","Down",FALSE
"GO:0016446",11,"Down",0.676444958801813,0.92190759948873,"Down","Down","Down",FALSE
"GO:0016485",70,"Up",0.677550651770023,0.9223798788802,"Up","Up","Up",FALSE
"GO:2000147",20,"Down",0.677546482584384,0.9223798788802,"Down","Up","Down",FALSE
"GO:0000266",16,"Down",0.681448079669059,0.922707830473832,"Up","Down","Down",FALSE
"GO:0006119",10,"Down",0.681784552465952,0.922707830473832,"Up","Down","Down",FALSE
"GO:0006337",17,"Down",0.694377088962871,0.922707830473832,"Down","Down","Down",FALSE
"GO:0006383",24,"Down",0.694811057309783,0.922707830473832,"Up","Down","Up",FALSE
"GO:0006413",37,"Down",0.692187877244985,0.922707830473832,"Up","Down","Up",FALSE
"GO:0007338",59,"Up",0.688182443839977,0.922707830473832,"Up","Up","Up",FALSE
"GO:0007507",161,"Up",0.68586690396508,0.922707830473832,"Down","Up","Up",FALSE
"GO:0008033",16,"Up",0.693772129247904,0.922707830473832,"Up","Down","Up",FALSE
"GO:0009410",205,"Down",0.686530127293588,0.922707830473832,"Down","Up","Down",FALSE
"GO:0010744",17,"Down",0.69375332866371,0.922707830473832,"Down","Down","Down",FALSE
"GO:0010811",31,"Up",0.696197008938009,0.922707830473832,"Down","Up","Up",FALSE
"GO:0010954",12,"Down",0.68616872537142,0.922707830473832,"Down","Down","Down",FALSE
