variable,target_mean,unweighted_mean,weighted_mean,truncated_weighted_mean,unweighted_standardized_difference,weighted_standardized_difference,truncated_standardized_difference
age_at_tau,75.57753035714285,75.8504609865471,75.60034054766689,75.60083345516303,0.03441857594717501,0.0028765341458190426,0.0029386934356275722
sex_male,0.4583333333333333,0.48878923766816146,0.4565791328403371,0.45670363253128665,0.06103338924705784,-0.003515403789339632,-0.0032659074021916612
education_years,16.258928571428573,16.112107623318387,16.213539491129463,16.210387032540737,-0.06148086246458277,-0.019006550762560217,-0.020326634002816306
apoe4_carrier,0.6309523809523809,0.5919282511210763,0.647895359538549,0.6470523209174786,-0.08075073741893417,0.03505928308512255,0.033314824192166685
tau_temporal_suvr,1.5014136904761906,1.4780358744394617,1.5099441408888616,1.5082871151338728,-0.05633997537392208,0.02055818068819065,0.016564788401958585
baseline_cdrsb,2.0,1.9103139013452914,2.150122296262899,2.1386867460077497,-0.03407663870837865,0.0570396452578264,0.05269465623141635
baseline_offset_days,-43.44345238095238,-44.775784753363226,-43.45935836660802,-43.50780212192056,-0.033610949928443774,-0.00040126270178886535,-0.0016233606316089478
opportunity_years,2.6520668328933215,2.8233226827254514,2.649025425932394,2.6524588561747255,0.24051129089885437,-0.004271344395174854,0.0005505565244359448
