model,status,n_participants,n_observations,converged,condition_number,warning_types,fitted_min,fitted_max,fitted_outside_0_18_fraction,rmse_in_sample
primary_gaussian_linear_time,ok,223,553,True,28.641627173372434,,-0.9769740120732129,13.90973342710538,0.028933092224231464,2.521038298032848
gaussian_quadratic_time,ok,223,553,True,65.0145164724446,,-0.9557350119228321,14.934701129126148,0.027124773960216998,2.5126690265869187
fractional_logit_linear_time,ok,223,553,True,28.641627173372434,,0.3550122689739168,16.153941913416695,0.0,2.5575350613067473
