model,term,beta,se,ci_low,ci_high,p_value,scale
gaussian_quadratic_time,Intercept,1.3112700778138362,0.2564528756200955,0.808631677866719,1.8139084777609535,3.169086625844115e-07,CDR-SB
gaussian_quadratic_time,time_years,0.531865677508705,0.2613335678148264,0.019661296640289372,1.0440700583771205,0.04183090690289387,CDR-SB
gaussian_quadratic_time,tau01,0.33199550216980067,0.04467193102987908,0.2444401262313804,0.41955087810822095,1.0708174306846924e-13,CDR-SB
gaussian_quadratic_time,age10,0.9006677262923117,0.2376109658283419,0.4349587909369841,1.3663766616476394,0.00015033577226432245,CDR-SB
gaussian_quadratic_time,sex_male,-0.002529024055939419,0.3027811498866084,-0.5959691730313158,0.5909111249194369,0.9933356294281066,CDR-SB
gaussian_quadratic_time,education_c,-0.09617607998124837,0.06181927389194183,-0.2173396303598716,0.024987470397374867,0.11976468657426942,CDR-SB
gaussian_quadratic_time,apoe4_carrier,0.14954752549742215,0.3043053191722834,-0.4468799403842193,0.7459749913790635,0.62311593091051,CDR-SB
gaussian_quadratic_time,time_years:tau01,0.2283214298541281,0.059352947868039616,0.11199178965648707,0.3446510700517691,0.00011964993244699853,CDR-SB
gaussian_quadratic_time,time_years:age10,0.019928242238616594,0.13740147724071494,-0.24937370457578464,0.28923018905301784,0.8846819795910308,CDR-SB
gaussian_quadratic_time,time_years:sex_male,0.09655786657336676,0.16562102115330898,-0.22805336996986528,0.42116910311659883,0.5598900028520293,CDR-SB
gaussian_quadratic_time,time_years:education_c,0.03768842322021909,0.040415510547330634,-0.041524521869347644,0.11690136830978583,0.35106592157053007,CDR-SB
gaussian_quadratic_time,time_years:apoe4_carrier,0.10281998081725635,0.17027528376671744,-0.23091344282284754,0.43655340445736024,0.5459462995197725,CDR-SB
gaussian_quadratic_time,I(time_years ** 2),-0.11793714829355234,0.0863744170019018,-0.287227894802924,0.05135359821581928,0.17212183845347062,CDR-SB
gaussian_quadratic_time,I(time_years ** 2):tau01,-0.04480315781101643,0.026405287252438105,-0.09655656982722971,0.0069502542051968555,0.08974403083715876,CDR-SB
fractional_logit_linear_time,Intercept,-2.590400919077652,0.1604100569246313,-2.904798853407949,-2.276002984747355,1.16132370037632e-58,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years,0.16058164912071024,0.07031641729275202,0.02276400370502682,0.2983992945363937,0.022389128797000116,logit_mean_CDR_fraction
fractional_logit_linear_time,tau01,0.16467765572012108,0.027263292491957396,0.11124258433590332,0.21811272710433882,1.5385627435568677e-09,logit_mean_CDR_fraction
fractional_logit_linear_time,age10,0.5527298077621139,0.12281784828316913,0.3120112484683979,0.7934483670558299,6.782476355325345e-06,logit_mean_CDR_fraction
fractional_logit_linear_time,sex_male,0.052782820379518966,0.17014640718198462,-0.2806980097960581,0.38626365055509604,0.7563936537802106,logit_mean_CDR_fraction
fractional_logit_linear_time,education_c,-0.07542225282515015,0.03695220424171347,-0.14784724228827678,-0.002997263362023536,0.041243285331827265,logit_mean_CDR_fraction
fractional_logit_linear_time,apoe4_carrier,0.07790053924283856,0.1816162777137941,-0.27806082408242233,0.4338619025680995,0.6679746911945841,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years:tau01,0.027740176615037467,0.013025254837017894,0.002211146245026264,0.05326920698504867,0.03319454093064444,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years:age10,-0.041090933491638094,0.05643583176045795,-0.1517031311796974,0.06952126419642121,0.4665523262731439,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years:sex_male,0.04973777673256036,0.07952885530049436,-0.10613591538810596,0.20561146885322668,0.531705009228572,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years:education_c,0.025727680281895718,0.019069591442051267,-0.011648032144418001,0.06310339270820944,0.17728978476781354,logit_mean_CDR_fraction
fractional_logit_linear_time,time_years:apoe4_carrier,0.016044270052579194,0.08553131748896711,-0.1515940317760572,0.1836825718812156,0.8512031052736982,logit_mean_CDR_fraction
