min_calendar_opportunity_months,eligible_with_baseline_n,analyzed_n,without_qualifying_followup_n,status,beta,ci_low,ci_high,p_value
12,316,222,94,ok,0.1259190002095926,0.06077802497596417,0.191059975443221,0.0001514648573977568
24,272,200,72,ok,0.12464964112544097,0.059262679552634465,0.19003660269824746,0.00018670809236202845
36,267,197,70,ok,0.12480916708691268,0.059055970773752534,0.19056236340007282,0.00019898799176631832
