analysis,term,beta,se,ci_low,ci_high,p_value
primary_Aplus_180d,Intercept,1.3650556907687712,0.25925354669029177,0.856928076391526,1.8731833051460165,1.399371318161884e-07
primary_Aplus_180d,time_years,0.24770812865528838,0.13206235418663417,-0.011129329264087023,0.5065455865746638,0.060697764628929604
primary_Aplus_180d,tau01,0.35338408348404715,0.05084199582890902,0.2537356027572498,0.4530325642108445,3.6364927875543504e-12
primary_Aplus_180d,age10,0.8937504272762311,0.23619537401047763,0.430816000900727,1.356684853651735,0.0001543616265750936
primary_Aplus_180d,sex_male,-0.013475745308472911,0.3009904710174186,-0.6034062281923603,0.5764547375754144,0.9642895732680878
primary_Aplus_180d,education_c,-0.0966821849982825,0.062001815665094044,-0.21820351067795818,0.02483914068139316,0.11891488464722916
primary_Aplus_180d,apoe4_carrier,0.16342349464563194,0.3052409029901757,-0.4348376818235969,0.7616846711148608,0.5923789180298598
primary_Aplus_180d,time_years:tau01,0.12603940001271804,0.033230947198021187,0.0609079403324443,0.1911708596929918,0.0001489389229947077
primary_Aplus_180d,time_years:age10,0.030253545362994537,0.13359111926357523,-0.23158023704800793,0.292087327773997,0.8208407529288023
primary_Aplus_180d,time_years:sex_male,0.12875847140920968,0.16210136808665482,-0.18895437188530426,0.4464713147037236,0.4270159399020661
primary_Aplus_180d,time_years:education_c,0.038207818519086764,0.040245914913172094,-0.040672725235593996,0.11708836227376752,0.34243809360722877
primary_Aplus_180d,time_years:apoe4_carrier,0.08070613062890018,0.16883515732998977,-0.25020469706203347,0.41161695831983386,0.6326378725791193
sensitivity_prePET_baseline,Intercept,1.3256710081489471,0.2605191881930263,0.8150627820090032,1.8362792342888912,3.6076716816275735e-07
sensitivity_prePET_baseline,time_years,0.2788745481252157,0.13294621929739078,0.018304746421565876,0.5394443498288656,0.03593613380128783
sensitivity_prePET_baseline,tau01,0.3563993477692222,0.05102975221751093,0.25638287128289783,0.4564158242555466,2.865895895878993e-12
sensitivity_prePET_baseline,age10,0.918491218880251,0.23571514242300357,0.4564980291204346,1.3804844086400674,9.754639841984913e-05
sensitivity_prePET_baseline,sex_male,-0.002961629103671402,0.30438006320086913,-0.5995355905894003,0.5936123323820576,0.9922366766531973
sensitivity_prePET_baseline,education_c,-0.08673069219299549,0.06239685592959658,-0.2090262825635393,0.03556489817754832,0.16453344009560233
sensitivity_prePET_baseline,apoe4_carrier,0.20310980096879128,0.3100828457251699,-0.4046414088762317,0.8108610108138142,0.5124562573331426
sensitivity_prePET_baseline,time_years:tau01,0.12359437858182692,0.03331020315629786,0.05830758007777069,0.18888117708588315,0.00020692709866892178
sensitivity_prePET_baseline,time_years:age10,0.022080921243995955,0.13434951501344095,-0.24123928952277157,0.2854011320107635,0.8694522332075776
sensitivity_prePET_baseline,time_years:sex_male,0.1328739752758795,0.16400649493477368,-0.18857284802692773,0.4543207985786867,0.41783955735947387
sensitivity_prePET_baseline,time_years:education_c,0.03347197499639236,0.04052128143319008,-0.045948277220071776,0.1128922272128565,0.40878454177749945
sensitivity_prePET_baseline,time_years:apoe4_carrier,0.0658046848847691,0.17259370051003026,-0.27247275207338256,0.40408212184292075,0.7030034076870011
sensitivity_90d,Intercept,1.489325996550539,0.3061815488807708,0.8892211880135381,2.08943080508754,1.1492501778298364e-06
sensitivity_90d,time_years,0.3511139783855038,0.15563899855334307,0.04606714663106981,0.6561608101399378,0.024073690380529873
sensitivity_90d,tau01,0.3629425883807213,0.05865326264177732,0.2479843060270691,0.4779008707343735,6.09573755631233e-10
sensitivity_90d,age10,0.8727919979175015,0.2519925218108238,0.3788957307948628,1.3666882650401402,0.0005330715683210505
sensitivity_90d,sex_male,-0.020281994823368326,0.33627813481503993,-0.6793750278491515,0.6388110382024148,0.9519062258991439
sensitivity_90d,education_c,-0.13771540807092333,0.06864232471771312,-0.2722518923327446,-0.003178923809102091,0.04482687222524419
