stage,diagnosis,n
A+T+,CN,33
A+T+,Dementia,66
A+T+,MCI,88
A+T+,no_visit,4
A+T-,CN,110
A+T-,Dementia,16
A+T-,MCI,66
A+T-,no_visit,2
A-T+,CN,10
A-T+,Dementia,1
A-T+,MCI,7
A-T+,no_visit,1
A-T-,CN,380
A-T-,Dementia,15
A-T-,MCI,145
A-T-,no_visit,18
