population,outcome,n_full,n_flagged,n_retained,boundary_low,knot1,knot2,boundary_high,common_tau_low,common_tau_high,reference_tau,full_nonlinear_chi2,full_nonlinear_p,retained_nonlinear_chi2,retained_nonlinear_p,max_abs_mean_difference,max_abs_shape_difference,rms_shape_difference,full_outcome_sd,max_shape_difference_in_outcome_sd,full_high_minus_low,full_high_minus_low_ci95_lower,full_high_minus_low_ci95_upper,retained_high_minus_low,retained_high_minus_low_ci95_lower,retained_high_minus_low_ci95_upper,interpretation,full_nonlinear_fdr_bh,retained_nonlinear_fdr_bh,fdr_note
all_eligible,hippocampus_icv,283,21,262,1.03,1.261,1.492,2.721,1.1112,2.1294999999999997,1.341,8.061850140990828,0.017757895048338586,4.853317385486625,0.0883314826740496,5.553364975235779e-05,5.46524126232449e-05,3.769087438989815e-05,0.0007496950941374426,0.07289952015242267,-0.0009470087316996048,-0.0011710481234883815,-0.0007229693399108282,-0.0009105061851456318,-0.0011262835981832482,-0.0006947287721080154,"descriptive shape comparison; separate pointwise CIs, no test of difference between overlapping samples",0.03551579009667717,0.1766629653480992,full: four full-sample tests; retained: separate four-test sensitivity family
all_eligible,cdrsb,336,27,309,0.991,1.26,1.517,3.833,1.10525,2.1212,1.358,6.645507942937004,0.03605340485914686,0.5998140853808399,0.7408870883512273,1.0154159541282635,0.8825630264894375,0.49444926330827066,2.631893932445187,0.33533381251024946,3.9635710564930546,3.1710091213119864,4.756132991674122,2.9692031429834427,2.2798168186430514,3.658589467323834,"descriptive shape comparison; separate pointwise CIs, no test of difference between overlapping samples",0.04807120647886248,0.7408870883512273,full: four full-sample tests; retained: separate four-test sensitivity family
age_ge_65,hippocampus_icv,257,19,238,1.03,1.259,1.4713333333333332,2.685,1.1092,2.082099999999999,1.337,10.076251093982519,0.006485894435408987,5.4529761927989355,0.06544873618754346,5.6329997886758396e-05,6.624578862334229e-05,4.339007017060889e-05,0.000736070902416098,0.08999919492252093,-0.0008681078509491428,-0.0010946412803007185,-0.000641574421597567,-0.000884591739838997,-0.0011110423886159337,-0.0006581410910620605,"descriptive shape comparison; separate pointwise CIs, no test of difference between overlapping samples",0.02594357774163595,0.1766629653480992,full: four full-sample tests; retained: separate four-test sensitivity family
age_ge_65,cdrsb,306,24,282,0.991,1.26,1.4906666666666666,3.833,1.10775,2.11785,1.3455,3.489454124924503,0.17469266264575187,1.4569952721247306,0.4826335369083603,0.8665886894369095,0.7620157624141517,0.5041219082081926,2.6303233003396067,0.289704220890172,4.057048067072123,3.211761129554082,4.902335004590164,3.222051603349798,2.473664222266446,3.9704389844331502,"descriptive shape comparison; separate pointwise CIs, no test of difference between overlapping samples",0.17469266264575187,0.6435113825444804,full: four full-sample tests; retained: separate four-test sensitivity family
