variable,with_followup_n,without_followup_n,with_followup_mean,without_followup_mean,standardized_mean_difference
age_at_tau,223,113,75.8504609865471,75.03891504424779,0.09957652949423805
sex_male,223,113,0.48878923766816146,0.39823008849557523,0.18243985687639036
education_years,223,113,16.112107623318387,16.548672566371682,-0.18180786165358206
apoe4_carrier,223,113,0.5919282511210763,0.7079646017699115,-0.2442913933247834
tau_temporal_suvr,223,113,1.4780358744394617,1.5475486725663716,-0.16322837573483737
baseline_cdrsb,223,113,1.9103139013452914,2.1769911504424777,-0.09754701462271206
baseline_offset_days,223,113,-44.775784753363226,-40.8141592920354,-0.10000917265567212
