variable,n,mean,sd,median,minimum,maximum
age_at_tau,18,77.9589388888889,8.179095892301149,76.3929,67.3593,91.2088
sex_male,19,0.631578947368421,0.49559462778335206,1.0,0.0,1.0
education_years,19,16.789473684210527,2.7804665349625743,16.0,8.0,20.0
apoe4_carrier,19,0.15789473684210525,0.3746343246326776,0.0,0.0,1.0
hippocampus_icv,13,0.004826398233635826,0.0008326914671071178,0.004769167930629091,0.0033310396693747445,0.006146674458121404
cdrsb,19,1.2105263157894737,2.181460962250886,0.0,0.0,8.0
hippocampus_icv_days_from_tau,13,41.76923076923077,40.7618159682029,36.0,0.0,140.0
cdrsb_days_from_tau,19,37.63157894736842,42.30735492443075,17.0,0.0,140.0
