model,n_participants,n_observations,converged,condition_number,warning_types,fitted_min,fitted_max,fitted_outside_0_18_fraction,rmse_in_sample,time_tau_coefficient,coefficient_ci_low,coefficient_ci_high,coefficient_p,coefficient_scale,fractional_mean_not_binomial_trials,formula
gaussian_original,223,553,True,28.641627173372434,,-0.9769740120732129,13.90973342710538,0.028933092224231464,2.521038298032848,0.12603940001271804,0.0609079403324443,0.1911708596929918,0.0001489389229947077,CDR-SB points/year per 0.1 SUVR,False,cdr ~ time_years * (tau01 + age10 + sex_male + education_c + apoe4_carrier)
gaussian_stage,223,553,True,39.943243705076995,,-0.9619624140990086,12.200860535851147,0.12658227848101267,1.9528527005725707,0.11513595296567242,0.05905313962486183,0.171218766306483,5.7282620839988887e-05,CDR-SB points/year per 0.1 SUVR,False,"cdr ~ time_years * (tau01 + age10 + sex_male + education_c + apoe4_carrier) + C(diagnosis, Treatment(reference=""CN"")) * time_years"
fractional_logit_original,223,553,True,28.641627173372434,,0.3550122689739168,16.153941913416695,0.0,2.5575350613067473,0.027740176615037467,0.002211146245026264,0.05326920698504867,0.03319454093064444,logit mean fraction,True,cdr_fraction ~ time_years * (tau01 + age10 + sex_male + education_c + apoe4_carrier)
fractional_logit_stage,223,553,True,39.943243705076995,,0.05141795199924343,14.320887885860008,0.0,1.9236929038077955,0.02973893044543643,0.009633999392597813,0.04984386149827505,0.0037417454760342306,logit mean fraction,True,"cdr_fraction ~ time_years * (tau01 + age10 + sex_male + education_c + apoe4_carrier) + C(diagnosis, Treatment(reference=""CN"")) * time_years"
