model,term,beta,se,ci_low,ci_high
gaussian_original,Intercept,1.3650556907687712,0.25925354669029177,0.856928076391526,1.8731833051460165
gaussian_original,time_years,0.24770812865528838,0.13206235418663417,-0.011129329264087023,0.5065455865746638
gaussian_original,tau01,0.35338408348404715,0.05084199582890902,0.2537356027572498,0.4530325642108445
gaussian_original,age10,0.8937504272762311,0.23619537401047763,0.430816000900727,1.356684853651735
gaussian_original,sex_male,-0.013475745308472911,0.3009904710174186,-0.6034062281923603,0.5764547375754144
gaussian_original,education_c,-0.0966821849982825,0.062001815665094044,-0.21820351067795818,0.02483914068139316
gaussian_original,apoe4_carrier,0.16342349464563194,0.3052409029901757,-0.4348376818235969,0.7616846711148608
gaussian_original,time_years:tau01,0.12603940001271804,0.033230947198021187,0.0609079403324443,0.1911708596929918
gaussian_original,time_years:age10,0.030253545362994537,0.13359111926357523,-0.23158023704800793,0.292087327773997
gaussian_original,time_years:sex_male,0.12875847140920968,0.16210136808665482,-0.18895437188530426,0.4464713147037236
gaussian_original,time_years:education_c,0.038207818519086764,0.040245914913172094,-0.040672725235593996,0.11708836227376752
gaussian_original,time_years:apoe4_carrier,0.08070613062890018,0.16883515732998977,-0.25020469706203347,0.41161695831983386
gaussian_stage,Intercept,0.42373734729950874,0.17641660985243285,0.0779671457140863,0.7695075488849312
gaussian_stage,"C(diagnosis, Treatment(reference=""CN""))[T.Dementia]",4.4638966406368725,0.4376082461121099,3.606200238919397,5.321593042354348
gaussian_stage,"C(diagnosis, Treatment(reference=""CN""))[T.MCI]",1.3205240006666232,0.14506120922708174,1.0362092550277135,1.604838746305533
gaussian_stage,time_years,0.1557425160088642,0.09943857565100932,-0.03915351094107561,0.35063854295880403
gaussian_stage,"C(diagnosis, Treatment(reference=""CN""))[T.Dementia]:time_years",0.6183161937057817,0.28688644933110713,0.056029085364236675,1.1806033020473268
gaussian_stage,"C(diagnosis, Treatment(reference=""CN""))[T.MCI]:time_years",0.23011893849493087,0.13330048469590583,-0.031145210630777242,0.491383087620639
gaussian_stage,tau01,0.12361770682539394,0.038730030403786704,0.04770824211383072,0.19952717153695715
gaussian_stage,age10,0.45843686593366584,0.19569474236287807,0.07488221893858005,0.8419915129287516
gaussian_stage,sex_male,-0.30978126815316626,0.2235721442865854,-0.747974618901266,0.12841208259493353
gaussian_stage,education_c,-0.03906854030687977,0.05060745761527416,-0.1382573345819544,0.06012025396819487
gaussian_stage,apoe4_carrier,-0.2425862652940316,0.217752589729297,-0.6693734987037803,0.184200968115717
gaussian_stage,time_years:tau01,0.11513595296567242,0.02861420606867507,0.05905313962486183,0.171218766306483
